	P0	P1	P2
(-) AAMDC	0.0336548238974805	0.09039493527160149	0.04656426495600214
(-) AASDHPPT	0.10476553770067087	0.0	0.00038638744640902295
(-) ABCA5	0.1849983877350521	0.013415055471729574	0.12251184888300926
(-) ABCB8	0.0	0.0	0.134039979858559
(-) ABCC3	0.22043850664963974	0.07365922773931448	0.0319184455179205
(-) ABCD3	0.11834598772025846	0.005498350051154346	0.0
(-) ABHD8	0.08023339662921453	0.09907289912215861	0.0
(-) ABL1	0.01695357323138941	0.07835505983732699	0.027292893008292685
(-) ABLIM3	0.0	0.0610704970930992	0.3349524971496669
(-) ABTB1	0.012302292506027386	0.0	0.1561451402684514
(-) AC141586.5	0.02504899042155896	0.15961674756879268	0.014112998843793537
(-) ACADM	0.11017703768172864	0.0	0.0
(-) ACADS	0.11974800783540995	0.009275799046130146	0.0
(-) ACCS	0.071904113767117	0.02574589690790955	0.1666764594613312
(-) ACTG1	0.05877035073398624	0.03354833533301226	0.021180294112316575
(-) ACTR3B	0.026044522933662655	0.012612556870765328	0.08310598543964871
(-) ACTR6	0.1300876460651866	0.0	0.0
(-) ADAM32	0.3675742611150808	0.16958280054625968	0.13880520329055598
(-) ADAMTS12	0.07883743041433204	0.177568080026788	0.3552566753491909
(-) ADAMTSL5	0.1711255832096731	0.010019295214324892	0.20356026530188429
(-) ADCY3	0.05044849875576392	0.0026586237948743067	0.04954346510840941
(-) ADORA2B	0.1349534615040106	0.011218422842858672	0.0
(-) AFF3	0.0	0.25169101622069673	0.3556873907066152
(-) AGAP9	0.07036437400360976	0.03300400613644906	0.10137783096913633
(-) AGPAT2	0.04786544293021736	0.00320391392956853	0.029496113202035993
(-) AHR	0.1222198907042425	0.04026881023659686	0.2335684409419925
(-) AIDA	0.014932913232879683	0.06228243175227476	0.05691866571451133
(-) ALCAM	0.02247484618097929	0.07492969386758326	0.067445442611219
(-) ALDH5A1	0.22283701439582343	0.017045674893441255	0.13347782991241325
(-) ALG12	0.0853371840516604	0.0	0.006043434087167005
(-) ALG14	0.19409771265162815	0.00688716423718669	0.028270792749575856
(-) ALG9	0.13588176557827072	0.010342289561724338	0.021742618718562597
(-) ALPK2	0.07151851998586443	0.3586262513110405	0.02748436347882296
(-) AMPD2	0.023925317836787138	0.14642450886780353	0.0032346139478245336
(-) ANAPC4	0.09263576256732929	0.01486268025028295	0.007363243052632166
(-) ANAPC7	0.10940935469591322	0.0	0.018149425946529078
(-) ANGPTL2	0.05096680356434443	0.26117478560058055	0.07785256306513524
(-) ANKEF1	0.12220824420122298	0.08318347561140253	0.37486448965047403
(-) ANKIB1	0.0	0.13796353815132945	0.12427827421207564
(-) ANKLE2	0.14243035445277866	0.0003396736315649555	0.0
(-) ANKRD10	0.0655075316776997	0.03381977663367998	0.020236882701537836
(-) ANXA6	0.0	0.1581471207263856	0.1402664671611807
(-) AP1B1	0.08250998364545438	0.0	0.01982381141156996
(-) AP2M1	0.0	0.07776751853860224	0.07589130245015334
(-) APBA2	0.18811855053877075	0.25349164386468914	0.17810272983776565
(-) APBB1	0.017905784899708968	0.16638816906541942	0.0
(-) APLF	0.03335925942739851	0.05433474544075377	0.3929048448952176
(-) APOBEC3B	0.09932200394129265	0.0	0.1153118431406707
(-) APOBEC3D	0.2932739731931887	0.01584115759089027	0.1886188763732886
(-) APOBEC3G	0.007514254188510028	0.25746598337215726	0.1598760478709933
(-) AR	0.31726617424727127	0.28267567864083465	0.20527681387018132
(-) ARAF	0.06638522691469409	0.0069659577707280335	0.006844620512711048
(-) ARF1	0.05884501929327699	0.0210011385869839	0.07900478848981032
(-) ARF4	0.0	0.14073505278022364	0.05276020883493954
(-) ARFGAP1	0.0	0.08006017313324906	0.11482216997792258
(-) ARFGAP2	0.04330247585072156	0.008149552024322505	0.051598238000838494
(-) ARFGEF1	0.09159607255223214	0.0	0.03427206636187967
(-) ARHGAP11A	0.16682438225809718	0.0	0.0
(-) ARHGAP18	0.05196380517177279	0.07947519525387708	0.0117279615767908
(-) ARHGAP22	0.0	0.05244167239515407	0.4492935788908398
(-) ARHGAP23	0.02913045969668526	0.04151412050417742	0.07240765715874496
(-) ARHGAP24	0.0	0.13694411261366082	0.40856844997653635
(-) ARHGAP35	0.04656144554120609	0.10979741221056523	0.0
(-) ARHGEF1	0.05968165977597122	0.00594196024885854	0.022230113293290832
(-) ARHGEF10	0.0281162970182023	0.16889996438448496	0.24744274139152692
(-) ARHGEF10L	0.054024631770154395	0.03347554196821109	0.08818464698265083
(-) ARHGEF17	0.10756733334652674	0.06008676937559161	0.04451531886787369
(-) ARHGEF25	0.0779134312561481	0.15240775338629445	0.0
(-) ARHGEF26	0.22663177450701258	0.05418879096699046	0.051545933162871774
(-) ARHGEF6	0.0	0.31852626707468223	0.007235376098010939
(-) ARL10	0.625399392328905	0.21843624844166754	0.0
(-) ARMC1	0.058013749493701035	0.0	0.05910049806163551
(-) ARMC10	0.006972452665858262	0.020283062690106112	0.08137062620150912
(-) ARMC2	0.16758276581024997	0.05210055890833135	0.13398594468302835
(-) ARMC7	0.1226969186855472	0.0	0.030127728671292077
(-) ARMC8	0.10572190208861643	0.0	0.011939219367331218
(-) ARMCX1	0.11078686787180565	0.1841985965888596	0.02780843093127796
(-) ARMCX2	0.12101570686994545	0.26462595761797963	0.055967351255121436
(-) ARMCX4	0.3778123699192519	0.13127944285268414	0.04093989952370079
(-) ARMCX5	0.16893467880453192	0.0	0.0
(-) ARSD	0.0	0.2998784333160619	0.06464232268301902
(-) ASAH2	0.24399448316394243	0.1374769532081575	0.10422838926041308
(-) ASB14	0.3932010953651152	0.1786610672081771	0.38522255867046284
(-) ASB16	0.06939343344538328	0.07672021671379303	0.09156812440664852
(-) ASB9	0.12874987788866957	0.07728647402186768	0.17271932771916765
(-) ASF1A	0.10803174206297318	0.004334790035779558	0.00012222419229523766
(-) ASNA1	0.047435260822646264	0.01634318395894902	0.03093355570136956
(-) ASPM	0.1357569956797242	0.0	0.0
(-) ATAD1	0.09757966988658134	0.00469306829071502	0.025936648690128874
(-) ATAD3A	0.08872415475187705	0.007695114986318061	0.05858597964451297
(-) ATG5	0.12352338568972923	0.0009382998172242055	0.0
(-) ATL1	0.17250078767918745	0.07692593455446634	0.16794764612035695
(-) ATOH8	0.17650229393733685	0.239088568988539	0.28067459952488955
(-) ATP6V1A	0.012273398591675306	0.0	0.10280676756728507
(-) ATP6V1E1	0.0522291896707946	0.023465657220512987	0.0370847576889197
(-) ATP9B	0.07951731172313369	0.10144689031920025	0.05280036228617438
(-) ATRN	0.049356429075786606	0.13490421280442222	0.022117161968497893
(-) ATXN1	0.04137904628911943	0.2018077369605422	0.0
(-) ATXN10	0.07066461797304366	0.01055495956607871	0.009868863263365573
(-) ATXN2L	0.07127818253365428	0.07337345715654355	0.0
(-) ATXN7	0.013534157451319072	0.09130413173684208	0.029442825617772058
(-) AUH	0.05766562232662596	0.0	0.07808875718431689
(-) AUNIP	0.3167281397064608	0.0	0.01576402393349314
(-) AURKAIP1	0.036884255654647924	0.009261670693314931	0.08766330872716734
(-) AUTS2	0.20118421974060108	0.1950438807845655	0.17138286025206567
(-) AXL	0.0	0.1235666296781184	0.11737077037900147
(-) B3GALT6	0.006862802782700335	0.15029711417093802	0.07597145381000922
(-) B3GNT5	0.23152796958713764	0.0458565323759696	0.2135409820669522
(-) B3GNT9	0.09875893923119611	0.19722544613028223	0.0753039123919803
(-) B4GALT6	0.0	0.0	0.5355278376418785
(-) BACE2	0.0	0.007293192160090469	0.3342197566632208
(-) BAG2	0.1496094272402927	0.0901417153942253	0.0023052543235286146
(-) BAG4	0.0912323761646679	0.0	0.03821671991560699
(-) BAIAP2	0.12037196576717228	0.0	0.03619782425576765
(-) BAIAP2L1	0.022187340271492037	0.0	0.4132189754399952
(-) BARD1	0.1048025533233535	0.0	0.0
(-) BASP1	0.24438395503639843	0.017493158164464048	0.1445513383887496
(-) BAZ1A	0.16283218557638693	0.0	0.0
(-) BAZ2A	0.054201414630010235	0.0	0.02488192178452504
(-) BCAT1	0.1613622255097425	0.1747560465831478	0.032326565442185595
(-) BCDIN3D	0.08548855302313138	0.0	0.09348344725479202
(-) BCHE	0.08793905774215789	0.23864837320915291	0.3197094550723525
(-) BCL6	0.003705863054169165	0.07471136704041818	0.10009807941170756
(-) BCLAF1	0.1121933291112191	0.0	0.0
(-) BDH2	0.013673512163908387	0.058287482311185856	0.09426368679404225
(-) BEND6	0.015243563526570122	0.3131977664034977	0.1288982733364319
(-) BIN1	0.02817704526654131	0.10127726398763058	0.07730701111249803
(-) BLMH	0.08610138632693973	0.012828156955794447	0.05181870666372023
(-) BNC2	0.041394913073639454	0.11104631089567775	0.16491361575023303
(-) BNIP2	0.0908829908067041	0.0	0.033504924274251
(-) BOLA1	0.08248394882205057	0.0	0.1334183020615226
(-) BRCA2	0.21380293667563025	0.0	0.0
(-) BRD7	0.15955611324084593	0.006409032638405265	0.011123426584578471
(-) BRD8	0.09195633740049167	0.0	0.0158978013932623
(-) BRF1	0.04329853547500109	0.015425107350061043	0.04429710046936369
(-) BRIP1	0.12865341627914634	0.004995936446449777	0.0
(-) BTG3	0.07144810234216097	0.008778849207378335	0.03418573231604996
(-) BUB1	0.2622559388883109	0.0	0.0006301548853725226
(-) BUB1B	0.17829802939438272	0.0	0.0
(-) BUD13	0.12489486973572908	0.05892247033139413	0.0
(-) C10orf76	0.1217850541451554	0.015069654008037142	0.0
(-) C11orf45	0.29382419533098264	0.03374800304191428	0.26375031269502025
(-) C11orf58	0.020307516576556335	0.0	0.06993390053818639
(-) C11orf80	0.3324330203105941	0.0	0.039161031387029845
(-) C14orf132	0.0	0.17409751376270524	0.23682018477505618
(-) C16orf58	0.0	0.10633754094976088	0.022867022019796703
(-) C18orf54	0.18737124850617315	0.0	0.0038728525779174847
(-) C19orf24	0.04297715516332706	0.048051365076437716	0.037439286523322894
(-) C1QTNF1	0.1069571298779436	0.20302520475174957	0.08417781240656466
(-) C1orf216	0.0	0.08017126546598353	0.07433604143253102
(-) C20orf194	0.07757523820124113	0.08835318579318557	0.0
(-) C21orf58	0.032670312586350454	0.03662050043182914	0.09652198555843354
(-) C2CD2	0.0230530022499489	0.065332259024508	0.07655578667462642
(-) C2orf42	0.06439335704377462	0.04804319734514857	0.05146199180693989
(-) C3orf14	0.0603753833796633	0.0	0.30950067523587027
(-) C3orf18	0.1546449716012556	0.1890038194092414	0.017403935000488226
(-) C3orf52	0.29025783552169415	0.0	0.09667435625761546
(-) C5	0.029289139750987292	0.17584987195731241	0.2178776434234281
(-) C7orf61	0.23543113896592197	0.09004304142216045	0.24585962123533542
(-) C9orf72	0.17025158263387563	0.16894080966883118	0.12865157850386066
(-) CAAP1	0.09849290189067263	0.134074947595536	0.13927586125438726
(-) CACNA2D1	0.258731566269033	0.2197090998101741	0.13961122075110202
(-) CAMK1	0.09601395044699776	0.20094055460709823	0.025601905116013103
(-) CAMK1D	0.13240954412060024	0.19016183043984555	0.2223501702219218
(-) CAMK4	0.015193722721828297	0.026054837342394496	0.35568578082438346
(-) CAP2	0.02308255113797083	0.06705382326889138	0.10518626667515088
(-) CAPN1	0.03624941822780189	0.01731694057403948	0.057637767980818135
(-) CAPN10	0.02223896820105435	0.009450471550084482	0.03330159005067884
(-) CAPN2	0.019853317114062963	0.010574925887046971	0.07768259757630737
