	P0	P1	P2	P3	P4	P5	P6	P7	P8
(-) AAMDC	0.07292613582414431	0.11302920920992578	0.0016422776379147626	0.0	0.0466069834901252	0.016258905163432615	0.0	0.005452271400919359	0.015727053576724426
(-) AASDHPPT	0.017397661712501462	0.0	0.0010595389606557124	0.060738545995286115	0.012282199606942995	0.03391754235212664	0.0033158920054297027	0.048662362722819555	0.0
(-) ABCA5	0.1565246577949038	0.0	0.0	0.06548156700073823	0.16168121632576174	0.0	0.028668160764321174	0.06531403286340053	0.025880965137512365
(-) ABCB8	0.11054802537008175	0.0	0.0	0.0	0.0	0.017561628558160264	0.0	0.0	0.11840376201299053
(-) ABCC3	0.04118890493792666	0.01665535983918532	0.0	0.19618764818607737	0.11843392113543587	0.27819898477747995	0.1027185871349135	0.0	0.0
(-) ABCD3	0.012940857849206613	0.0	0.0022761430191667667	0.03931529885291619	0.06542761331408829	0.008103742396397497	0.0	0.060112081439895326	0.0
(-) ABHD8	0.07145826595662308	0.13339362829299614	0.0	0.03262111663006363	0.025189324163243373	0.0	0.03944862987345458	0.012664021541266607	0.0
(-) ABL1	0.0	0.08561885715473531	0.0217136261940414	0.0	0.000623605893092715	0.036442548263854554	0.05714458577851841	0.046911566369098094	0.0
(-) ABLIM3	0.007004732731851059	0.0626937967498289	0.33457640561134555	0.005607687878307923	0.010884062518622669	0.0	0.0018001724076890458	0.0	0.1696389014488451
(-) ABTB1	0.16136178539359836	0.0	0.024559762721798526	0.0	0.0	0.0	0.022180459209179108	0.0	0.061358579457679016
(-) AC141586.5	0.0	0.2043937108900888	0.00905309798860011	0.0016829310905029948	0.03487646979715033	0.011680684467269043	0.011442136072497115	0.02383746303242807	0.029652557013848238
(-) ACADM	0.0	0.0	0.0	0.13254062385703888	0.006497018772423454	0.000656085341592114	0.0	0.02956155435782598	0.0
(-) ACADS	0.03871851802127985	0.0032850777956245857	0.0	0.0	0.04855197315618159	0.0	0.0	0.09663848616736818	0.0
(-) ACCS	0.1750693976408343	0.002159917611549688	0.09409934557358801	0.0	0.05050870855513193	0.010347888691685568	0.026852960041955955	0.012967056075217885	0.034494052062143704
(-) ACTG1	0.019231610260131097	0.044760535132088976	0.019819367540548763	0.0032200393883798665	0.0	0.014453868763787252	0.0	0.06509493184650852	0.0
(-) ACTR3B	0.14816791395579387	0.010589044204157707	0.011933089011746386	0.0	0.0	0.019095436887453278	0.009179251702902487	0.0	0.003365810240494417
(-) ACTR6	0.020220677689894568	0.0	0.0	0.09363117796825211	0.05112306418388674	0.000734254123628092	0.0	0.0345547440375657	0.0
(-) ADAM32	0.21103670011076758	0.1589498860174701	0.0273121925780394	0.24003795213106163	0.06812156372978569	0.27178294063275243	0.04167986864929596	0.11549862125053693	0.05731347520050464
(-) ADAMTS12	0.05679115195731276	0.12737189114016537	0.36296651418509895	0.19002870844502198	0.0	0.29448889518677046	0.2858451002981797	0.0	0.0
(-) ADAMTSL5	0.17687203467273602	0.0	0.020305759190570236	0.0017947602089361829	0.21619498713549626	0.03920685188663083	0.0	0.012887122153612558	0.15681175353318239
(-) ADCY3	0.034711627623530854	0.0	0.0033115152508301753	0.06850186604236527	0.004419646909987896	0.014279557232815916	0.08218487524562892	0.0014908557641259948	0.009702625142287228
(-) ADORA2B	0.0015577229068686532	0.0	0.018865296952958705	0.0	0.0	0.12161802959124636	0.004418839762816571	0.11434598972941118	0.0
(-) AFF3	0.22385431714504805	0.3178059193343005	0.0	0.0	0.018324559020405192	0.035134007642657394	0.33341488612829084	0.0	0.2061847565939179
(-) AGAP9	0.11327965459960128	0.0385365589458121	0.029821804692043714	0.03164958372071532	0.02242412370399841	0.0029320953679825706	0.0	0.024738786953238893	0.05207366213848864
(-) AGPAT2	0.0010326831124635265	0.0	0.04822517602775512	0.0	0.07678658074061681	0.008637377554044767	0.005914169878209334	0.0028624393409178383	0.0
(-) AHR	0.0	0.04969460807159546	0.10649949901201014	0.024098209060248135	0.0	0.0	0.0	0.192045827006257	0.20409964355060417
(-) AIDA	0.0	0.07079557244504858	0.1089749359365274	0.07177816147704416	0.0	0.0	0.0	0.0	0.0009014374416947707
