	P0	P1	P2	P3	P4	P5	P6	P7
(-) AAMDC	0.0710703490344256	0.03229092244434768	0.010977703420411189	0.0	0.06633975936376584	0.015049855870816359	0.0	0.08975457025236051
(-) AASDHPPT	0.018036609252321437	0.0003879224152949245	0.0	0.07317052265387938	0.037116828116007625	0.048212684116449994	0.0007357085503679516	0.0
(-) ABCA5	0.16763858189127853	0.0	0.015224470829148185	0.06163106690306268	0.24513320088024998	0.0	0.02886963486876482	0.022321461142856772
(-) ABCB8	0.12134278982582714	0.0038695923204678973	0.0874489713101908	0.0	0.0	0.025701097285201358	0.013056244765832746	0.0029989132565035027
(-) ABCC3	0.04203230512721881	0.0032856832899971935	0.0	0.07902190659937962	0.14692006884625958	0.4372199003594432	0.08831239484243317	0.03650752093801914
(-) ABCD3	0.006496106203074774	0.0018728739056578746	0.006502262557371733	0.06768519196264067	0.11574763752161929	0.0	0.0	0.00258199788559076
(-) ABHD8	0.08892807266898231	0.1630925341465692	0.0	0.025402393722473136	0.04246845648328343	0.004273846355754687	0.02337438514312443	0.0
(-) ABL1	0.0	0.011923610886685016	0.0465674008502495	0.007508328906122928	0.02473631013609983	0.048712245691435965	0.03647993449452788	0.08118063893670747
(-) ABLIM3	0.0029513363418017173	0.07427031898247279	0.6240023699588054	0.0	0.021626832127203927	0.0	0.009468161297771492	0.04679892143254212
(-) ABTB1	0.17776844283936105	0.0	0.08131184801262095	0.0	0.0	0.0	0.03350827356571191	0.0
(-) AC141586.5	0.002983505861184331	0.08207553369330599	0.03125727063309997	0.013311041683733144	0.050884613045801254	0.007288190673783008	0.006541146849218734	0.13595490212369918
(-) ACADM	0.0	0.0	0.0	0.10242095512294105	0.014871067599472156	0.006506661446455008	0.0	0.0029197195035027042
(-) ACADS	0.06218410016360565	0.0	0.0	0.029982872644197144	0.1204962660727748	0.0	0.0	0.010685864154770084
(-) ACCS	0.19015675724221376	0.01817953869945964	0.15050106448908246	0.0	0.08547114990219372	0.005501660776925196	0.015285405746582763	0.015570986140082623
