	P0	P1
(-) AAMDC	0.049453882661299416	0.11355593677311279
(-) AASDHPPT	0.08149766705605535	0.0
(-) ABCA5	0.23717605055236715	0.0027126994582000524
(-) ABCB8	0.08003355202948755	0.016207003359500854
(-) ABCC3	0.19521379112045148	0.07833978413344587
(-) ABCD3	0.09384616132036924	0.0
(-) ABHD8	0.05979768484177739	0.1127281354343537
(-) ABL1	0.020474898798168405	0.10316501355788824
(-) ABLIM3	0.14345508493688638	0.1594116472158814
(-) ABTB1	0.11662304133710089	0.0
(-) AC141586.5	0.011851507882532319	0.20074342845935522
(-) ACADM	0.07451728313303783	0.0
(-) ACADS	0.09798096274975734	0.0
(-) ACCS	0.15955155536915905	0.045355635412345746
(-) ACTG1	0.05947750958130824	0.03765789446607546
(-) ACTR3B	0.07645070034267475	0.016533357844584116
(-) ACTR6	0.09443514486902116	0.0
(-) ADAM32	0.37377081411084173	0.19827066023850665
(-) ADAMTS12	0.2500296167953821	0.27649147525849294
(-) ADAMTSL5	0.27421885620317016	0.01195988466207865
(-) ADCY3	0.06969483773658373	0.00797783710289419
(-) ADORA2B	0.10964305232872791	0.004275867059663186
(-) AFF3	0.1691374324382313	0.3706552482910257
(-) AGAP9	0.11845420538280867	0.046964962811217245
(-) AGPAT2	0.05597555129829985	0.005021064744909991
(-) AHR	0.24321366435675545	0.06385980484161664
(-) AIDA	0.029759821735087125	0.09767126263364302
(-) ALCAM	0.05724683022208063	0.09351387338338281
(-) ALDH5A1	0.2802679503203719	0.0
(-) ALG12	0.07207061565644131	0.0
(-) ALG14	0.174860327260861	0.0
(-) ALG9	0.12071565492262681	0.008394995578064151
(-) ALPK2	0.03642749587945979	0.4521443956432227
(-) AMPD2	0.006851305355380669	0.18249809333505349
(-) ANAPC4	0.07493399286337173	0.017925617762304745
(-) ANAPC7	0.09415760243655388	0.0
(-) ANGPTL2	0.06078742708563282	0.33723750558502225
(-) ANKEF1	0.30867346880734764	0.1576203706144782
(-) ANKIB1	0.0505787783647522	0.19733555706318057
(-) ANKLE2	0.10653496858449438	0.0
(-) ANKRD10	0.06679394833125193	0.035773813471367585
(-) ANXA6	0.023323061117019133	0.24338680657173564
(-) AP1B1	0.07908694968682342	0.0
(-) AP2M1	0.026602490771863323	0.11456553109435173
(-) APBA2	0.25396574704019087	0.30454859334926015
(-) APBB1	0.0	0.20248915095286651
(-) APLF	0.2553445194502357	0.12244269042307443
(-) APOBEC3B	0.155470766555971	0.0
(-) APOBEC3D	0.3564002201855287	0.018593143213646003
(-) APOBEC3G	0.07722764437751535	0.34515454519101924
(-) AR	0.3676503048460179	0.3461140700061421
(-) ARAF	0.05945648665604387	0.0024138983964432214
(-) ARF1	0.08722135931417688	0.04070804432196355
(-) ARF4	0.0	0.1960361922096063
(-) ARFGAP1	0.03824723343353582	0.1315206983448047
(-) ARFGAP2	0.06701328409970161	0.012993162707672897
(-) ARFGEF1	0.09686785691991039	0.0
(-) ARHGAP11A	0.11917432250706773	0.0
(-) ARHGAP18	0.04215658716403703	0.09749427621703413
(-) ARHGAP22	0.22781618443822654	0.151229989749583
(-) ARHGAP23	0.05963119550384659	0.06437815210288773
(-) ARHGAP24	0.22228602937607833	0.232609970503779
(-) ARHGAP35	0.027668934331028832	0.13308465846927114
(-) ARHGEF1	0.06142453294813728	0.006671905058724205
(-) ARHGEF10	0.15129790746715693	0.24849489945432524
(-) ARHGEF10L	0.0967472030081897	0.04704797725425581
(-) ARHGEF17	0.11598142989335607	0.06509044003986315
(-) ARHGEF25	0.04165557775968531	0.19155955463841656
(-) ARHGEF26	0.2269830020777094	0.03526849688666632
(-) ARHGEF6	0.0	0.39232124690202913
(-) ARL10	0.4860973128368657	0.22320141749947042
(-) ARMC1	0.08240810423602014	0.0
(-) ARMC10	0.05311695038900993	0.03527064888668114
(-) ARMC2	0.21133616150484366	0.07377576261837657
(-) ARMC7	0.1191272006609971	0.0
(-) ARMC8	0.09164177996840438	0.0
(-) ARMCX1	0.08545203354578303	0.23163634833967905
(-) ARMCX2	0.11583315619498274	0.31855251478520463
(-) ARMCX4	0.3231497615023639	0.13852003765554582
(-) ARMCX5	0.11184655997362478	0.0
(-) ARSD	0.007875164340972516	0.3820146311972457
(-) ASAH2	0.25381594438583116	0.16300280580231266
(-) ASB14	0.5569451618340344	0.2202335077465406
(-) ASB16	0.10804487986347576	0.09921387260628702
(-) ASB9	0.20937863160831438	0.10158392668521055
(-) ASF1A	0.08417008258423231	0.003212125480269432
(-) ASNA1	0.05423044132218528	0.02416561287491064
(-) ASPM	0.09592015953200814	0.0
(-) ATAD1	0.10034602360905841	0.0
(-) ATAD3A	0.10034015205473623	0.018591989071352306
(-) ATG5	0.09174916984770169	0.0
(-) ATL1	0.2500401653923165	0.08867689524080301
(-) ATOH8	0.2831714680690147	0.33380605458733287
(-) ATP6V1A	0.07602606215326764	0.0
(-) ATP6V1E1	0.0659121021737237	0.027361145289775908
(-) ATP9B	0.08822863003476114	0.12510398741098966
(-) ATRN	0.042731549330556715	0.1658212485702083
(-) ATXN1	0.014494845925355965	0.24776472074345593
(-) ATXN10	0.06230900156421398	0.009478330689439837
(-) ATXN2L	0.03845871230766327	0.09030010569023365
(-) ATXN7	0.022301986607830646	0.11393857746440679
(-) AUH	0.097328980369285	0.0
(-) AUNIP	0.26064440671109057	0.0
(-) AURKAIP1	0.07820130029520607	0.025973372443799828
