	P0	P1	P2	P3	P4
(-) AAMDC	0.0699408007580873	0.1276839258436319	0.0032077036298511366	0.0010400556807468656	0.06992786323965963
(-) AASDHPPT	0.009193427928316041	0.0	0.0	0.09124517538926886	0.042173383790564754
(-) ABCA5	0.18968545610012613	0.0	0.0	0.07609611790313989	0.22619368038101273
(-) ABCB8	0.13561397555120144	0.0	0.07415509920172982	0.0	0.0
(-) ABCC3	0.0955776983255761	0.06206332154975643	0.0	0.11596143371506801	0.2393285618578205
(-) ABCD3	0.00045971698156059115	0.0	0.004570372113578089	0.07485093157897117	0.11590575161379808
(-) ABHD8	0.0757950428371287	0.15186557491994648	0.0	0.033553113267719537	0.029402500441128396
(-) ABL1	0.0	0.10794846200028854	0.0570927973476252	0.010808937188050096	0.04588076547032448
(-) ABLIM3	0.017627256832402263	0.08962430472438544	0.6186226321329485	0.0	0.0
(-) ABTB1	0.18648616974000704	0.0	0.069699410439621	0.0	0.0
(-) AC141586.5	0.00583337720646298	0.23619214458381305	0.03308214030013511	0.016186324807224123	0.050937023202299266
(-) ACADM	0.0	0.0002536338376874521	0.0	0.1176785487574088	0.014763996567802747
(-) ACADS	0.05279868220952858	0.0	0.0	0.040077504989518786	0.11291612341438872
(-) ACCS	0.1889034176376165	0.0	0.14335312670027392	0.0	0.08659058900714015
(-) ACTG1	0.004599547618738146	0.05491745546870858	0.040182822686857994	0.06400992322603523	0.013007957154665085
(-) ACTR3B	0.1470338184775587	0.01196992983257754	0.008476312132737543	0.0	0.004626237834470118
(-) ACTR6	0.013507684092246614	0.0	0.0	0.09414126106176426	0.07874765750290949
(-) ADAM32	0.2043989905377214	0.22557833995288623	0.07655973696915723	0.2857511972378122	0.2112819886455621
(-) ADAMTS12	0.10859116749304078	0.24771396259292092	0.5577216316737437	0.10528635205161595	0.036322565263251484
(-) ADAMTSL5	0.1937562020313625	0.0	0.12889447039160945	0.009398089736897477	0.326955553832789
(-) ADCY3	0.057389925114795855	0.00671680071270445	0.013316759594139388	0.05780741503394536	0.0
(-) ADORA2B	0.0	0.004623120475594867	0.0636445609403954	0.10236553240476076	0.06349405906255237
(-) AFF3	0.40027520728264065	0.38149219256231387	0.13627854427392866	0.0	0.0
(-) AGAP9	0.10258488019210302	0.04740259322272323	0.07072357070615161	0.05609596705018758	0.02687376429350059
(-) AGPAT2	0.0	0.0	0.0671128726481637	0.0	0.11323498182031382
(-) AHR	0.04394856355257932	0.05168533835531625	0.3518022900078801	0.16012855694875994	0.0448230449591346
(-) AIDA	0.0	0.09321757645985931	0.1428178914480551	0.03525152011986011	0.0
(-) ALCAM	0.08834068081867032	0.09174235052896267	0.02868766138137075	0.0	0.04938245024832215
(-) ALDH5A1	0.2897453657555221	0.0	0.0	0.0005898065515498362	0.34223935461545124
(-) ALG12	0.0	0.0	0.03215046986047279	0.07159348800055122	0.037516433414243024
(-) ALG14	0.06085696728741435	0.0043794825979800115	0.02392478199533437	0.14545674325355545	0.09506070395130749
(-) ALG9	0.028938546809444285	0.020866767073080574	0.021230089046081327	0.13029751057278727	0.030840593331429647
(-) ALPK2	0.0	0.4711475265285652	0.022561235867618382	0.036051153363380134	0.26539197247707685
(-) AMPD2	0.0	0.2126491108797385	0.004226476943850143	0.025574588690954046	0.052191584916427815
(-) ANAPC4	0.02452795875832195	0.039676066803456346	0.0	0.1153685517247735	0.0
(-) ANAPC7	0.0	0.0	0.03795565088963047	0.1384161607731514	0.0
(-) ANGPTL2	0.08546125412683554	0.40692598661816526	0.03586681298888212	0.08966751367487849	0.0
(-) ANKEF1	0.17991338431719014	0.0	0.3890963947650752	0.03350062964073102	0.3772527600792558
(-) ANKIB1	0.03538461644361245	0.1591427452093802	0.15769992625771348	0.0	0.13022536170683285
(-) ANKLE2	0.0	0.012755454457502044	0.01271945114505842	0.16048881151826827	0.004728973219581445
(-) ANKRD10	0.08436786502121514	0.03595013703334233	0.0	0.022304094266049266	0.048929896581833054
(-) ANXA6	0.0	0.2488746310258229	0.2960138040091896	0.0	0.0
(-) AP1B1	0.031227861945803924	0.0032173135769763455	0.020450096158586555	0.08031478159619829	0.0018329691519631
(-) AP2M1	0.05745598654028799	0.12214808405085692	0.06264385341179217	0.0	0.0
(-) APBA2	0.24108002338459184	0.2603023402430413	0.0483863820692897	0.0	0.47704024973632736
(-) APBB1	0.03652836496184408	0.25495443811101903	0.0	0.004474617264991369	0.010224132417075637
(-) APLF	0.283785165097665	0.0420149875429788	0.3823993947482929	0.0	0.06103151490891664
(-) APOBEC3B	0.0	0.0	0.24436355523504993	0.14825202911613308	0.0
(-) APOBEC3D	0.11067707179597788	0.03170440813211903	0.28665943882484446	0.2753108278152628	0.05878760571500659
(-) APOBEC3G	0.08896371981512594	0.36855239249238203	0.19682299453786625	0.0	0.11244801242485807
(-) AR	0.22284924702058442	0.3254201150105389	0.15100288672948983	0.1342188145209375	0.4646971300881867
(-) ARAF	0.053602425977138074	0.01608468891840951	0.0	0.04821308206752956	0.0
(-) ARF1	0.02868992299054389	0.027998507740716667	0.14576203434173998	0.04390325625094806	0.024113571213221482
(-) ARF4	0.0	0.2022038379444849	0.1378251594019065	0.0	0.020571136854419175
(-) ARFGAP1	0.0	0.11403744835529178	0.23493864348433463	0.0	0.012615642888896944
(-) ARFGAP2	0.06339660574033243	0.0	0.013419252186697402	0.017550665895367076	0.057274988839643604
(-) ARFGEF1	0.044556489401810485	0.002023520885507862	0.010970097219335808	0.07339592333188989	0.04449744554781716
(-) ARHGAP11A	0.0	0.0	0.0	0.20620762281247398	0.0
(-) ARHGAP18	0.0460231873765875	0.12715932413870823	0.0	0.051288180855072175	0.0
(-) ARHGAP22	0.2354399843744831	0.07192331065006582	0.4950534272982581	0.0	0.0
(-) ARHGAP23	0.02075361261650175	0.03785588393992058	0.10822303607049426	0.018596450513118836	0.061908554959575604
(-) ARHGAP24	0.1552008305320151	0.19823524246647412	0.5279976333958973	0.03239362751847652	0.010419520550596903
(-) ARHGAP35	0.0	0.1411152922141752	0.0	0.03710642954076303	0.09323194175157107
(-) ARHGEF1	0.03948916068706901	0.015089059291468612	0.004123695030221596	0.05786325948007068	0.0
(-) ARHGEF10	0.06578248146742938	0.20991348395589812	0.36031823379638206	0.020215453138684916	0.13061808049908535
(-) ARHGEF10L	0.11921150914856175	0.020999676060124164	0.005798466801756744	0.005492522455728247	0.10642353120246574
(-) ARHGEF17	0.04537223342504889	0.03112078974508073	0.005316873162740646	0.04090593030292533	0.22281704477393927
(-) ARHGEF25	0.012585679473937388	0.2445366355439301	0.003516035866697327	0.09317266705539755	0.0032544218818297025
(-) ARHGEF26	0.23569432441455015	0.08656026691958973	0.0	0.1297246462154568	0.04735477409078645
(-) ARHGEF6	0.02784974118590774	0.48810922472028345	0.004941916095297586	0.0	0.01868895173885804
(-) ARL10	0.07114396092384939	0.23576412952284	0.0	0.4660125823323922	0.5089746415226843
(-) ARMC1	0.0	0.0	0.12433366340315813	0.0838125068023028	0.0
(-) ARMC10	0.09529277700468913	0.023583710744721004	0.06598214977252637	0.0	0.0
(-) ARMC2	0.13309435377833062	0.0821015406774786	0.11366965075800531	0.15399717591379852	0.03458910255845143
(-) ARMC7	0.08316095585772143	0.0	0.0013930533242977785	0.09234730028026274	0.01879951224132377
(-) ARMC8	0.05048943016249335	0.0	0.0	0.09068096210528312	0.015061805829798835
(-) ARMCX1	0.031482049073859736	0.29596275702645464	0.0633664330279964	0.13298861236681436	0.0
(-) ARMCX2	0.23429073744098403	0.4082802337015402	0.0	0.06731680366072891	0.0
(-) ARMCX4	0.13308151253626566	0.2228214856539543	0.0239754243771968	0.35106140236744565	0.04985327643801379
(-) ARMCX5	0.0	0.0	0.0	0.1907932160902632	0.0
(-) ARSD	0.06607816976401548	0.411755540290989	0.006051728123850811	0.0	0.14708725938791578
(-) ASAH2	0.09867403862043195	0.14552704051978424	0.08565466572027738	0.1836912637909423	0.24179051443321026
