	P0	P1	P2	P3
(-) AAMDC	0.09110290904838628	0.095332183234515	0.02545343837321699	0.0
(-) AASDHPPT	0.029112889187273804	0.0	0.0036280713361709852	0.10092508982647558
(-) ABCA5	0.27953669582437884	0.0	0.03403807079282711	0.09090104642559732
(-) ABCB8	0.047387469322360716	0.0	0.11852037705538661	0.0
(-) ABCC3	0.24158310715569217	0.05709856209385131	0.0	0.12760372129839723
(-) ABCD3	0.0883043904095678	0.0	0.0	0.0783737832869313
(-) ABHD8	0.07254154590193397	0.1181791125560751	0.0	0.04133002211628098
(-) ABL1	0.021348642741862937	0.08714665831021172	0.036712462266147466	0.010503280685315912
(-) ABLIM3	0.0	0.08820679999922003	0.4102882357920003	0.0
(-) ABTB1	0.07272015002331365	0.0	0.13070770086676184	0.0
(-) AC141586.5	0.034663089569411644	0.18115200543229187	0.02475292353390727	0.01511931983111772
(-) ACADM	0.0050674121639760275	0.00013944840075347278	0.0	0.1287522287062049
(-) ACADS	0.1283263999672186	0.0	0.0	0.04524665514867831
(-) ACCS	0.1693692507315491	0.008301829217528187	0.1361420658344353	0.0005404213165178679
(-) ACTG1	0.0029888126949240727	0.04353626353009341	0.029824248881238805	0.07115397558902722
(-) ACTR3B	0.07918674784719765	0.011286881659553355	0.058507428598923564	0.0
(-) ACTR6	0.0668918768495555	0.0	0.0	0.10262505819552518
(-) ADAM32	0.23841233744996068	0.18412014469045754	0.10579197439323454	0.32437065220169964
(-) ADAMTS12	0.0	0.2306893253355339	0.4212550515792769	0.12643308379231996
(-) ADAMTSL5	0.32488186622846393	0.0	0.15039281776782704	0.01637045466871067
(-) ADCY3	0.01551845147511356	0.0034563644384686056	0.04655840479600248	0.06368569382896534
(-) ADORA2B	0.045606790584056506	0.013123557948701936	0.012603638900921513	0.11796445795771184
(-) AFF3	0.15452691011363315	0.2919454373461731	0.30485250568971234	0.0
(-) AGAP9	0.061639747242527666	0.037799496465999914	0.09047406002668777	0.06529027041675584
(-) AGPAT2	0.08373882930479166	0.0	0.028617572969586738	0.0
(-) AHR	0.0	0.05558704612960528	0.277867229363752	0.1754152703264063
(-) AIDA	0.0	0.07985054856053474	0.07777043579543506	0.03656031031233236
(-) ALCAM	0.06332483329850803	0.0773754720525837	0.05735657370117735	0.004792856281536732
(-) ALDH5A1	0.44163474082790527	0.0	0.019002026589501172	0.014554318570378422
(-) ALG12	0.018808586044800527	0.0	0.016542881235413028	0.08101600426128039
(-) ALG14	0.09615492582309126	0.0048198173426511805	0.025573241729685905	0.16424675473649886
(-) ALG9	0.025993579898021684	0.017657643595372217	0.025400731811306206	0.14550297675337004
(-) ALPK2	0.1760525678318294	0.37991169619517473	0.0	0.02816479480241956
(-) AMPD2	0.032975702887113746	0.1666858353117697	0.00023679767774954135	0.02511855170513673
(-) ANAPC4	0.0	0.027722860718222476	0.0009534233543083692	0.13158386411224285
(-) ANAPC7	0.0	0.0	0.02935399661568377	0.148077113795417
(-) ANGPTL2	0.012876058594692685	0.31078609859650547	0.08097770581516692	0.09840704272083786
(-) ANKEF1	0.3159264326851874	0.026770914440504775	0.3254244169804963	0.03441461488132155
(-) ANKIB1	0.10098175075595804	0.133852934636685	0.1073484265422369	0.0
(-) ANKLE2	0.0	0.011434438031617394	0.0	0.1759270511150032
(-) ANKRD10	0.09520339637129249	0.02495692384247895	0.0	0.03381961144912201
(-) ANXA6	0.0	0.19695773832559835	0.1923777343219235	0.0
(-) AP1B1	0.002276660921692763	0.004256836171078523	0.029528486876283233	0.09450218026884347
