	42MGBA_CENTRAL_NERVOUS_SYSTEM	8MGBA_CENTRAL_NERVOUS_SYSTEM	A1207_CENTRAL_NERVOUS_SYSTEM	A172_CENTRAL_NERVOUS_SYSTEM	AM38_CENTRAL_NERVOUS_SYSTEM	CAS1_CENTRAL_NERVOUS_SYSTEM	CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	GAMG_CENTRAL_NERVOUS_SYSTEM	GB1_CENTRAL_NERVOUS_SYSTEM	GI1_CENTRAL_NERVOUS_SYSTEM	GMS10_CENTRAL_NERVOUS_SYSTEM	GOS3_CENTRAL_NERVOUS_SYSTEM	H4_CENTRAL_NERVOUS_SYSTEM	HS683_CENTRAL_NERVOUS_SYSTEM	KALS1_CENTRAL_NERVOUS_SYSTEM	KG1C_CENTRAL_NERVOUS_SYSTEM	KNS42_CENTRAL_NERVOUS_SYSTEM	KNS60_CENTRAL_NERVOUS_SYSTEM	KNS81_CENTRAL_NERVOUS_SYSTEM	KS1_CENTRAL_NERVOUS_SYSTEM	LN18_CENTRAL_NERVOUS_SYSTEM	LN215_CENTRAL_NERVOUS_SYSTEM	LN229_CENTRAL_NERVOUS_SYSTEM	LN235_CENTRAL_NERVOUS_SYSTEM	LN319_CENTRAL_NERVOUS_SYSTEM	LN340_CENTRAL_NERVOUS_SYSTEM	LN382_CENTRAL_NERVOUS_SYSTEM	LN428_CENTRAL_NERVOUS_SYSTEM	LN443_CENTRAL_NERVOUS_SYSTEM	LN464_CENTRAL_NERVOUS_SYSTEM	LNZ308_CENTRAL_NERVOUS_SYSTEM	M059K_CENTRAL_NERVOUS_SYSTEM	NMCG1_CENTRAL_NERVOUS_SYSTEM	SF126_CENTRAL_NERVOUS_SYSTEM	SF172_CENTRAL_NERVOUS_SYSTEM	SF295_CENTRAL_NERVOUS_SYSTEM	SF767_CENTRAL_NERVOUS_SYSTEM	SNU1105_CENTRAL_NERVOUS_SYSTEM	SNU201_CENTRAL_NERVOUS_SYSTEM	SNU466_CENTRAL_NERVOUS_SYSTEM	SNU489_CENTRAL_NERVOUS_SYSTEM	SNU626_CENTRAL_NERVOUS_SYSTEM	SNU738_CENTRAL_NERVOUS_SYSTEM	SW1088_CENTRAL_NERVOUS_SYSTEM	SW1783_CENTRAL_NERVOUS_SYSTEM	T98G_CENTRAL_NERVOUS_SYSTEM	TM31_CENTRAL_NERVOUS_SYSTEM	U118MG_CENTRAL_NERVOUS_SYSTEM	U178_CENTRAL_NERVOUS_SYSTEM	U251MG_CENTRAL_NERVOUS_SYSTEM	U343_CENTRAL_NERVOUS_SYSTEM	U87MG_CENTRAL_NERVOUS_SYSTEM	YH13_CENTRAL_NERVOUS_SYSTEM	YKG1_CENTRAL_NERVOUS_SYSTEM
(-) AAMDC	0.0	0.008136172422666283	0.0	0.0	0.0	0.06795948098790719	0.0	0.0	0.00839707884166499	0.05653453443697315	0.26417359853928685	0.0	0.027798518627071268	0.0	0.3624900246312026	0.0	0.3816998520124776	0.0	0.0	0.0	0.03204310598894678	0.0	0.22988520620151232	0.0	-0.0	0.13322589059276435	0.028972174950435144	0.0	0.0	0.41402720264125326	1.0252739284594081	0.06998488195896568	0.0	0.021394589255010348	0.026655726710030664	0.0	0.8736656414437795	0.590152442488301	0.16706788531601127	0.022894876708344995	0.0	0.0	0.00024421959750077846	0.0	0.07101060150618951	0.0008013583147832502	0.0	0.016859153629571525	0.0	0.00043341155071556975	0.003107002945593864	0.12325389339752922	0.0064600881380281255	0.48703692691086325	0.08286628404895154	0.001405902921370067
(-) AASDHPPT	0.0	0.6259916305312948	0.0	0.10921433575556415	0.0	0.0	0.08974051595321704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33632171448368137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.769997866134802	0.19638236689687394	0.0	0.0	0.0	0.007818201582687421	2.6527799150787935e-05	0.0	0.0003465964975341375	0.0	0.0	0.0	0.0	0.0	0.015840675012026444	0.10016452496278985	0.022233177730594536	0.3389080164373632	2.6527799150787935e-05	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.4652945964939637	0.0	0.0
(-) ABCA5	0.3902598676079245	0.015511596462624575	0.009068851352761633	1.864689480328396	1.2089417638156021	0.02217788108999014	0.8832618961810679	0.042186343773433714	0.04924508458160437	0.043947040937983566	0.016583667162475516	0.7370101088380445	0.0445181132790539	0.04118899491394451	0.08280409487812156	0.03250245011372481	0.10247746932310295	0.043244455958408645	0.012211687703545877	0.10305249827607403	0.1586527439349528	0.30872588921454586	0.026430039150140458	0.01913193496968347	0.01982185556809561	0.0334151844562509	0.003676079831479629	0.022474169262399053	0.04820381547833738	0.000785377711406597	0.2883547360384863	0.0	0.00925282067130997	1.6707860465794997	0.04785647638620841	0.07868167900850045	0.025112888138925468	0.04264511620028533	0.0	0.1658570721707653	0.0720501287302529	0.620887264207381	0.07284579318536132	0.41520525460526614	0.1424318062474254	0.035268864251497695	0.3230868478368275	0.09366278520760549	0.37991942745811524	0.8248367774417443	0.0342052936325918	0.08501438134318574	0.12122134093171227	0.07316859546706025	0.011372699906541042	0.023194588320794317
(-) ABCB8	0.5863576802322095	0.08298381951498424	0.0	0.052253094499785956	0.002438952451845741	0.0	0.00017320626093164442	0.039162733294226516	0.0	0.0	0.1774929879306334	0.0	0.9971832941070866	0.0	0.0	0.0	0.3071565848998741	0.0	0.015646400155595343	0.0	0.003244809217142596	0.024585332844127047	0.0007456163116720576	0.0	0.002628642447850869	0.019540018024870917	0.08298381951498424	0.0	0.0	0.02594713143076158	0.5652392035112846	0.15866360580929584	0.0	0.23818680261431466	0.0	0.00744062811804927	9.405088564244944e-05	0.0	0.05531521655830196	0.0	0.0	0.0	0.0	0.0	0.06961298521541232	0.0	0.0008472243016709596	0.0	1.02803779065337	0.01725616030553014	0.0	0.0006508670018867672	0.0	0.0	0.0	0.0
(-) ABCC3	0.38285701425759316	0.0	0.4211334685120319	2.4118326600649996e-05	0.26317402957998837	0.024898218359432647	0.0	0.014151217646521684	0.9771667616771077	0.0040447108219986245	0.20050055481382717	0.0876603935111784	0.05883812378158487	0.0	0.0	0.0	0.0005513532502376922	0.0022949168137721293	0.0	0.0005025949395595035	0.0	1.4390279853372099	0.0	0.0	0.0	0.022751009398939974	0.01659028781020264	0.04346203579957626	0.0	0.0	0.2312460836504345	1.5085748837946102	0.5194082025471722	0.6480366480422459	0.0	0.0024173341057643896	0.0	0.0	0.08937962992046272	0.00041299098608537613	0.0	1.3141849660066378	0.009383882474409187	0.0008370628515236081	0.7227787290164553	0.0	0.00029749592063882163	0.0	0.00029749592063882163	1.3076453014602085	0.125785060558073	0.0	0.0008370628515236081	0.00852090049243584	0.0	0.03273272904969825
(-) ABCD3	0.0	0.0	0.016888097425189156	0.2744485226644892	0.11861198398074792	0.19860280698721594	0.0	0.12964728195875275	0.0	0.0001494872651295002	0.0	1.0007566526398224	7.077457459152183e-05	0.47681473341328784	0.4212161536435538	0.0	0.0	0.19632116441778633	0.0	0.06428031078917289	0.0	0.3895245176145747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011417025353062844	0.0	0.0	0.0	0.010462805780706805	0.0	0.0	0.0	0.010462805780706805	0.02513079881425847	0.03623612634869009	0.0	0.7902663238871145	0.0	0.0	0.0	0.0	0.0	0.0	0.010931923430544924	0.016284920007105057	0.0	0.0	0.6849190598261845	0.027488710482978886	0.0
(-) ABHD8	0.010972249420768033	0.0	0.007753257085240341	0.0	0.0	0.03284591676698158	0.7308205525866742	0.0	0.37610976738776014	0.07497911216636219	0.0	3.400569338589165e-06	0.0	0.0	0.4522581541542009	0.006811936977628977	0.0	0.0	0.0	0.0	0.0022498160056717343	0.20528356970778044	0.2874557574976702	0.0	3.400569338589165e-06	0.00013538837137560265	0.0	0.0	0.0	0.0	0.0	0.0	0.14853817279519976	0.0	0.0	0.0	0.028852605230391012	0.09882503007242266	1.1767947400906853	0.17707328606928416	0.0	0.20165523633595897	0.0003646353423767667	0.0	0.08410248998666066	0.06340837722278013	0.0008543070785973142	0.0	0.002006839522948274	0.0	1.3184628169023649	0.0	0.0003646353423767667	0.0	0.05782587449587336	0.0
(-) ABL1	0.0031963193113200756	8.772883609498524e-05	0.0	1.0082567201308044	0.0	0.0	0.0	0.06380804132406794	0.0	0.0	0.0	0.08284084881897516	0.0	0.0	0.0	5.029001236031633e-05	0.0	0.0	0.4615603406112363	0.0	0.0	0.09162381499307513	0.10702219517474179	0.006996576453972116	0.00197686859292988	0.0	0.017364618991017485	0.0	0.0	0.123287490394161	0.0	0.2240485626010945	0.28166647616868135	0.02992364989149274	0.056323222495581526	0.0	0.7413191007093916	0.023999720726120142	0.06770591177061591	0.0	0.0	0.0	0.0	0.0	0.0	0.0002637329343233438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
(-) ABLIM3	0.007744693648413808	0.045891114148573026	0.0	0.006879508326182419	0.0017483471693286138	0.0	0.0	0.2890429325940131	0.027981748867428838	0.0	0.5858322855594282	0.06520973598282233	0.0009785031083249488	0.26746758007080573	0.0	0.0	0.0	0.0	1.771306818807822	0.05725055395919938	0.21202237699877932	0.03619185513415988	0.0	0.0005717528649365952	0.11643027536659259	0.07306945137108686	1.592172619388676	0.06447003364425438	0.010390885164062365	0.0031444845996533234	1.3098417089462637	0.02663310956947928	0.0	0.0003707575659603502	0.10456949600707559	0.0	0.27632210394813705	0.0	0.5536351229399671	0.0003707575659603502	0.0022443687286241407	0.038619756165690994	0.0	0.5474713981863234	0.5951883502328622	0.0	0.0	0.0006303948637473996	1.2704141316946436	0.0	0.0	0.42506430608691026	0.0	0.0	0.007744693648413808	0.08354916694399414
(-) ABTB1	1.080229869121054	0.0	0.0	0.0	0.00265664152159003	0.0032499916794858676	0.7250186588002184	0.005962416250896545	0.0	0.004736427834034756	0.9486909260515461	0.19603198779843442	0.0	0.0	0.07427990550341088	0.3630332126422238	0.07171850661954264	0.0	0.13834764031257782	0.0	0.0	0.0	0.006254220710793958	0.0	0.005338794847737241	0.019063470736474436	0.0013555051362639165	0.00040630567611612655	0.002056854980319501	0.0	0.00020033088103243416	0.00011954073131371306	0.0020385165338162674	0.3780453163683791	0.005842672614862808	0.019919290099425346	0.0012860325721125087	0.4670984074790069	0.0	0.0	0.0	0.0005702277967656587	0.0	1.0214340849477315	0.0	0.00010594757717295997	0.43599846552205235	0.0	0.005185044030478165	0.0025360182632484757	0.03789153189466098	2.370855459788924e-05	0.0	3.539458240307589e-05	0.0	0.0
